id	from	to	name
5636c879-048e-4352-953d-ab2f64b2cbbb	0850d36b-b7a6-41cb-accd-6d9e74ef47eb	4774a51c-b6f7-4bd2-af99-0c566931269d	authenticates
3611b982-db60-4b1d-b879-f33e8b2317aa	0850d36b-b7a6-41cb-accd-6d9e74ef47eb	49d1664c-8b42-4ab4-b69a-1257745af06e	resolves
b539b3d4-c389-47a5-89af-9aab99501f1b	0850d36b-b7a6-41cb-accd-6d9e74ef47eb	d08f4dd0-ae63-4e03-8695-dcdc790f143b	stores via
9af74173-46ee-41d3-8d55-0fb0c5529258	4774a51c-b6f7-4bd2-af99-0c566931269d	4a25ec6a-1605-4738-815f-e2eacdc45ce9	reads policies
14f8370c-2ee1-4c38-8c0b-d88309582b2d	d08f4dd0-ae63-4e03-8695-dcdc790f143b	e118d0dc-a65a-4f0b-8c66-73df93bc7027	triggers
87a80494-c273-4364-84e1-066adafab0c5	d08f4dd0-ae63-4e03-8695-dcdc790f143b	4a25ec6a-1605-4738-815f-e2eacdc45ce9	persists to
f1a9eb01-6ce8-4c94-ae48-e08be9633827	49d1664c-8b42-4ab4-b69a-1257745af06e	4a25ec6a-1605-4738-815f-e2eacdc45ce9	indexes
5dff7e41-ce7f-46c8-8360-674f998bf15a	0b263ae7-df82-43ec-9f33-31e699cd6619	69cae78c-4c9f-4883-a228-22ca2cbc3f5f	enforces
735c6c42-895d-4d9c-9960-acabcdc9d486	0b263ae7-df82-43ec-9f33-31e699cd6619	079bf2c2-a3f7-47f6-8b53-4442c047fb88	checks
a89f51ce-41ae-40af-84ff-f476d4a3df3a	cc2772ed-c09c-4c9f-98bb-28c4e347c2b5	46b64eda-7363-4b9a-829b-7f64c1423350	triggers replication
1d28335a-5b4c-46ed-a1e0-4606d2743f98	cc2772ed-c09c-4c9f-98bb-28c4e347c2b5	ecd8f978-1e34-416a-a965-a5985cc549d7	routes via
31575863-7bd4-4f60-b598-85ab2dff15f3	53abcdc7-0470-41f2-8c24-452baacfd0db	ecd8f978-1e34-416a-a965-a5985cc549d7	resolves to
fa087766-344f-475d-bafb-306f83deff5a	164ad00a-127d-4a12-8b0c-935797f0443a	ea35ff21-3bee-4e08-b220-86b1866e50e6	versions
54ecae24-879d-4d7a-9584-1a6fa6ffa262	164ad00a-127d-4a12-8b0c-935797f0443a	538afd34-edd8-4849-95d5-2d1b2c493f81	validates
7436f35c-b5a2-4ac3-acb3-bd8a6aee2ae1	164ad00a-127d-4a12-8b0c-935797f0443a	9f2801ac-b5c0-47a8-9f4f-34595a629f17	encrypts via
f90e72f5-539b-45fe-aa32-85ca9fe2de67	164ad00a-127d-4a12-8b0c-935797f0443a	ae573c5f-2f15-431f-a670-408249b652ab	encodes via
b797b465-9810-4fa0-8959-131e503a9e64	164ad00a-127d-4a12-8b0c-935797f0443a	04889ac6-8995-4b40-b689-a3277548c531	triggers event
f6807a89-c92c-4174-b723-d79d19553d8e	689af0fa-32e7-43d3-9172-eaba15559cae	164ad00a-127d-4a12-8b0c-935797f0443a	expires via
68253cc6-dbaa-4d66-a73a-5d3fc3eb556b	aaf9f2ed-0e6f-496e-a99d-68fd550554f8	164ad00a-127d-4a12-8b0c-935797f0443a	transitions via
b6ceb34a-3333-4eb0-8266-67cf148ce12f	924f5b7a-0961-4483-8352-c248ece5069b	164ad00a-127d-4a12-8b0c-935797f0443a	restores from
209c9a8e-a4d2-4d9f-b9d2-f5cfd7c8b2da	b960e5e6-947f-4b67-bce2-42103fe7e9eb	164ad00a-127d-4a12-8b0c-935797f0443a	assembles to
a51635ab-899e-4390-bb4b-b8fff5d4f33c	04889ac6-8995-4b40-b689-a3277548c531	53b55280-76a8-469f-9a16-df4c51e6e0a9	reports usage
2d5e4546-f961-4240-9c5e-02da5907c84f	164ad00a-127d-4a12-8b0c-935797f0443a	7adc9908-e4f2-4f2b-b888-e77167df784d	writes metadata
535e2164-54ce-4284-9d06-0fd43534ffdc	0b263ae7-df82-43ec-9f33-31e699cd6619	f7fab6a0-c202-45d5-8087-e93c05e9131e	reads config
20c8c304-e380-4ee0-97b9-8365c348bf18	53b55280-76a8-469f-9a16-df4c51e6e0a9	8d0913c5-ee52-4077-8f23-dbbe37828bdd	records usage
e8c66a3d-4d0b-4e81-964a-d1697c58bd09	cc2772ed-c09c-4c9f-98bb-28c4e347c2b5	f7fab6a0-c202-45d5-8087-e93c05e9131e	reads bucket config
