pathId	order	from	to	method	path	reqPerSec	bytesPerSec	headers	queryParams
64c16fba-2409-4065-8981-9f138ae687b2	1	c66d939c-97eb-4668-b01f-2ae6aef8925e	164ad00a-127d-4a12-8b0c-935797f0443a	PUT	/{bucket}/{key}	1200	52428800	Content-Type=application/octet-stream	x-id=PutObject
64c16fba-2409-4065-8981-9f138ae687b2	2	164ad00a-127d-4a12-8b0c-935797f0443a	7adc9908-e4f2-4f2b-b888-e77167df784d	WRITE	/meta/{id}	1200	52428800	x-amz-storage-class=STANDARD	
5ccd533e-e686-4a21-97a9-07fe2d2f53c8	1	c66d939c-97eb-4668-b01f-2ae6aef8925e	164ad00a-127d-4a12-8b0c-935797f0443a	PUT	/{bucket}/{key}	1200	52428800		
5ccd533e-e686-4a21-97a9-07fe2d2f53c8	2	164ad00a-127d-4a12-8b0c-935797f0443a	04889ac6-8995-4b40-b689-a3277548c531	EMIT	/notify/s3:ObjectCreated	1200	2048	x-event-source=s3	
a991d3da-18a5-4a58-888f-e270058db7cf	1	c66d939c-97eb-4668-b01f-2ae6aef8925e	cc2772ed-c09c-4c9f-98bb-28c4e347c2b5	GET	/{bucket}/{key}	8600	734003200		response-cache-control=max-age=3600
a991d3da-18a5-4a58-888f-e270058db7cf	2	cc2772ed-c09c-4c9f-98bb-28c4e347c2b5	7adc9908-e4f2-4f2b-b888-e77167df784d	READ	/meta/{id}	2100	734003200		
13915f4e-7ec0-4f11-be15-7138b6697d6b	1	c66d939c-97eb-4668-b01f-2ae6aef8925e	b960e5e6-947f-4b67-bce2-42103fe7e9eb	POST	/{bucket}/{key}?uploads	340	104857600		
13915f4e-7ec0-4f11-be15-7138b6697d6b	2	b960e5e6-947f-4b67-bce2-42103fe7e9eb	48c521ca-1ec7-48e2-a4d0-abb98615df70	WRITE	/mpu/{uploadId}	340	8192		
11c3fe25-84a7-4284-81b5-5f0e4076cda3	1	c66d939c-97eb-4668-b01f-2ae6aef8925e	0b263ae7-df82-43ec-9f33-31e699cd6619	AUTH	/authz	9800	4096	Authorization=AWS4-HMAC-SHA256	
11c3fe25-84a7-4284-81b5-5f0e4076cda3	2	0b263ae7-df82-43ec-9f33-31e699cd6619	6a4e636c-0236-45c6-832b-b3f55fb7f2d0	READ	/acl/{bucket}	9800	2048		
67ffce6e-f8a9-4fbb-adf0-8d9c76c7659b	1	c66d939c-97eb-4668-b01f-2ae6aef8925e	ea35ff21-3bee-4e08-b220-86b1866e50e6	GET	/{bucket}/{key}?versions	640	16384		
67ffce6e-f8a9-4fbb-adf0-8d9c76c7659b	2	ea35ff21-3bee-4e08-b220-86b1866e50e6	7e8c3293-c9d8-4f6f-8e5d-e488feb49018	READ	/versions/{key}	640	65536		
9ffb201d-9a97-471d-97a0-f5a42aea8f2c	1	689af0fa-32e7-43d3-9172-eaba15559cae	aaf9f2ed-0e6f-496e-a99d-68fd550554f8	SCAN	/lifecycle/scan	12	1024		
9ffb201d-9a97-471d-97a0-f5a42aea8f2c	2	aaf9f2ed-0e6f-496e-a99d-68fd550554f8	164ad00a-127d-4a12-8b0c-935797f0443a	MOVE	/tier/GLACIER	12	209715200		
c15e6f50-ab1a-422b-a8de-33055ed4b9ee	1	46b64eda-7363-4b9a-829b-7f64c1423350	ecd8f978-1e34-416a-a965-a5985cc549d7	REPLICATE	/replicate/{region}	420	314572800		
c15e6f50-ab1a-422b-a8de-33055ed4b9ee	2	ecd8f978-1e34-416a-a965-a5985cc549d7	09982da2-d31f-408d-9c56-302a4c04e283	APPEND	/repl-log	420	4096		
f3fa3bf4-5719-419c-8da2-02e6fc5d55d5	1	164ad00a-127d-4a12-8b0c-935797f0443a	9f2801ac-b5c0-47a8-9f4f-34595a629f17	ENCRYPT	/sse-kms	1200	52428800	x-amz-server-side-encryption=aws:kms	
f3fa3bf4-5719-419c-8da2-02e6fc5d55d5	2	9f2801ac-b5c0-47a8-9f4f-34595a629f17	84ca8585-1fa5-4a2c-989d-fcae4c361e69	READ	/keys/{kmsKeyId}	1200	512		
718afd20-ba25-4e16-93c2-f5251939995f	1	04889ac6-8995-4b40-b689-a3277548c531	53b55280-76a8-469f-9a16-df4c51e6e0a9	EMIT	/usage	5400	1024		
718afd20-ba25-4e16-93c2-f5251939995f	2	53b55280-76a8-469f-9a16-df4c51e6e0a9	74378a9b-4c56-4192-8735-3d6c3184eb58	WRITE	/ledger	90	8192		
734010fa-44b5-457b-a1e6-d9137226c866	1	c66d939c-97eb-4668-b01f-2ae6aef8925e	924f5b7a-0961-4483-8352-c248ece5069b	POST	/{bucket}/{key}?restore	8	2048		
734010fa-44b5-457b-a1e6-d9137226c866	2	924f5b7a-0961-4483-8352-c248ece5069b	164ad00a-127d-4a12-8b0c-935797f0443a	FETCH	/glacier/{id}	8	104857600		
f6af36c7-cd5c-4386-963e-5e295424b0d9	1	164ad00a-127d-4a12-8b0c-935797f0443a	538afd34-edd8-4849-95d5-2d1b2c493f81	VERIFY	/checksum/sha256	1200	52428800		
f6af36c7-cd5c-4386-963e-5e295424b0d9	2	538afd34-edd8-4849-95d5-2d1b2c493f81	7adc9908-e4f2-4f2b-b888-e77167df784d	UPDATE	/meta/{id}/checksum	1200	1024		
